ComboIndex,SharpeRatio,Weights
1,0.30252011170933246,[2.5965810724797235e-2;1.7597134434374346e-2;3.7425235769854494e-2;4.011407652306115e-2;1.7762555787662997e-2;3.951525641935921e-2;5.750663639042538e-2;1.9487035560963716e-2;2.3813243845865285e-2;7.2701847579158e-2;2.9371306443030792e-2;5.576795467990694e-2;2.943964619260779e-2;3.142679727737259e-2;7.102327056935157e-2;6.760978614953556e-2;5.493525525596316e-2;3.867626625986203e-2;2.9981605360658508e-2;2.3479542194533787e-2;5.071347713800832e-2;2.2215652119404277e-2;3.8861753829311556e-2;6.995973310308887e-2;3.464912039184247e-2]
2,0.31405333263323054,[7.282221767445482e-2;1.987476790767094e-2;1.7998504783473493e-2;2.207429140983914e-2;2.4182340560616092e-2;2.150956930360509e-2;6.219574699876768e-2;4.43149965950585e-2;2.7397113508227666e-2;7.204726519532445e-2;3.0303848772108927e-2;4.853462067206909e-2;6.804293948173602e-2;1.621819654560446e-2;4.4701628392193105e-2;3.807381390524729e-2;4.607084245436009e-2;5.19627725455646e-2;1.9826799600066107e-2;2.1153678085216773e-2;3.87841426742766e-2;3.657219523371087e-2;5.5562158677643546e-2;7.301391345916082e-2;2.676163556400371e-2]
3,0.2907362290265159,[4.247312340900676e-2;1.697512873467359e-2;4.379800656835369e-2;2.028648195073293e-2;6.168189579951577e-2;4.40329266541326e-2;5.07749500947201e-2;5.164304260001757e-2;1.7175207920615394e-2;6.174792839426799e-2;4.536332894258138e-2;2.6610758841068335e-2;2.7154233637590713e-2;2.9850467265200405e-2;6.037543884893987e-2;4.4549475870361746e-2;1.5094809189380439e-2;5.519473362865724e-2;2.3794167074437593e-2;4.324968381095492e-2;6.285042361200804e-2;3.290616778936926e-2;6.269747723941677e-2;3.254488888386826e-2;2.7175253240128712e-2]
4,0.36160881344634477,[2.4976735770045905e-2;1.864160981806745e-2;3.0546831366067985e-2;5.192648673605509e-2;5.200331758003745e-2;3.541181761301077e-2;5.057406368632145e-2;2.366366344219124e-2;5.8793766003182125e-2;7.003495952489884e-2;1.9892575162164354e-2;1.7387562406523994e-2;2.338737308202489e-2;3.636427166382001e-2;6.999364768710925e-2;1.5946388727302578e-2;4.395088786808755e-2;5.1001533717117666e-2;2.0268969256982367e-2;3.303036641501638e-2;6.355584266535513e-2;2.0694617272668393e-2;5.891803201304794e-2;4.2808042998177746e-2;6.622663752472363e-2]
5,0.27555345745419035,[2.387047958170834e-2;1.9867698315851116e-2;2.67628178319544e-2;3.6989213572128775e-2;3.9072670167545745e-2;4.6090693111364656e-2;5.0297808789594556e-2;4.9295018063088634e-2;1.4341638097908765e-2;5.164561432032854e-2;3.231779581691153e-2;2.3411826701484093e-2;1.6483865724404568e-2;2.1148563970099735e-2;6.453448833136227e-2;5.746148857727053e-2;5.980725765417951e-2;4.878258618081426e-2;5.961620397038568e-2;3.172419288609719e-2;3.9251469807781526e-2;1.9149342806992268e-2;6.419011868878188e-2;3.6126667505221886e-2;6.776047952673965e-2]
6,0.2904029423948566,[6.385417616481844e-2;5.502793039187595e-2;2.3289651749094982e-2;1.8859297623053273e-2;3.541151599949879e-2;6.248170987624979e-2;3.587876242275737e-2;2.937748830578848e-2;4.6947704470888946e-2;6.429901353599551e-2;4.321318920750774e-2;1.6960336298412496e-2;1.782052283225934e-2;2.509793285046793e-2;6.873514034624956e-2;6.552331204517114e-2;1.7819236069840604e-2;6.840008248435518e-2;3.182061938730812e-2;1.5466077693454804e-2;5.012880382315327e-2;4.718619215928187e-2;5.010407300738043e-2;2.4922307535075888e-2;2.1374923720059915e-2]
7,0.3112897968718694,[5.1305267889074684e-2;1.694099456450701e-2;4.1084511228433464e-2;2.246263228908257e-2;3.321989724955131e-2;2.3945058792946623e-2;7.268883884002682e-2;2.8751371531760907e-2;3.840202609014613e-2;7.506493744751287e-2;2.0743345692935778e-2;2.7458728547444022e-2;4.1606427612700586e-2;2.527142924458331e-2;4.285147370573143e-2;3.5050080993738277e-2;3.506746319761961e-2;5.555215380246719e-2;6.841459339617356e-2;2.2539413308715655e-2;2.953039129058674e-2;1.5970539737806398e-2;5.714558318729023e-2;7.096917903993795e-2;4.796366131922706e-2]
8,0.2938762912245968,[1.6940655010231398e-2;3.385900601423598e-2;2.520850427477302e-2;2.0114494110542083e-2;2.3655223535093067e-2;2.586363808746677e-2;5.52949229988916e-2;2.6974485209100243e-2;2.4313795748462208e-2;6.948733741563004e-2;6.650251470972544e-2;4.007120659963021e-2;2.236921885655759e-2;4.326310629927085e-2;4.8605144373112294e-2;4.3294378160974464e-2;4.4373101079275966e-2;6.57275275814269e-2;3.242793429583298e-2;1.633091905444949e-2;4.9603398904925475e-2;3.561313031110005e-2;6.736623106002226e-2;4.7196146046089016e-2;5.554398026318067e-2]
9,0.3353566978788878,[2.295183722196082e-2;2.1498647792404336e-2;2.671279598093766e-2;3.376689410061491e-2;4.14516257509094e-2;3.8187337138066914e-2;5.145131263143143e-2;1.8345991235980488e-2;2.678886548666037e-2;6.947642172502848e-2;6.254460520284631e-2;1.5500640684648475e-2;4.4226827133761026e-2;5.437297650892913e-2;6.881815324285726e-2;1.5486112093788714e-2;3.319826510217154e-2;5.3494678499544646e-2;4.193651166546632e-2;5.4249771381245634e-2;7.051319911239866e-2;4.336235383168342e-2;1.8892712020568418e-2;1.9123722702316808e-2;5.364774175377856e-2]
10,0.3040911057395071,[1.780935060708302e-2;2.2208966528888006e-2;4.278801514324766e-2;5.6328634194547963e-2;2.725194007501582e-2;2.1181844318696807e-2;7.125726510132877e-2;4.904252448057152e-2;4.542917251288522e-2;6.093357601396638e-2;4.9802337020398844e-2;3.245283378371539e-2;3.561912374967265e-2;2.1430889945756187e-2;5.7497551590467336e-2;3.1694770928785934e-2;3.2336526759017784e-2;3.677417569905123e-2;4.2640971593857255e-2;2.0094357554724978e-2;4.241248062528429e-2;2.0086558997128988e-2;4.729476085858676e-2;4.071843775380548e-2;7.491293416351583e-2]
